N mfeNoDiag
6407 -4327.78
7784 -5165.86
5824 -3972.27
4749 -3165.78
2107 -1393.6
6430 -4350.31
1385 -940.28
3920 -2626.45
6274 -4237.61
3521 -2361.9
1670 -1126.25
2292 -1509.12
7759 -5163.25
3081 -2051.14
3110 -2076.39
915 -600.54
7036 -4676.16
2199 -1455.53
4851 -3253.13
6548 -4392.17
4740 -3167.04
102 -56.95
537 -354.45
6872 -4628.5
480 -301.28
7505 -5103.84
6034 -4020.24
7316 -4964.36
6566 -4403.86
3290 -2200.63
8006 -5369.64
6220 -4202.37
3640 -2423.35
5626 -3697.61
3407 -2297.28
6883 -4611.86
6115 -4090.89
340 -224.63
2919 -1925.49
6466 -4397.16
3078 -2081.91
669 -434.08
895 -599.09
771 -528.54
2186 -1437.04
1751 -1132.4
4157 -2779.0
1690 -1123.34
166 -104.16
5375 -3548.1
3078 -2032.58
6567 -4444.21
2211 -1455.14
7794 -5186.13
4647 -3126.9
860 -572.75
4961 -3307.77
6966 -4626.49
1905 -1285.25
4604 -3056.14
4437 -2955.14
4462 -3010.51
6496 -4363.05
397 -254.46
1544 -1026.53
4701 -3132.04
7203 -4852.83
2968 -1975.52
7136 -4828.39
1737 -1143.86
1490 -987.24
7502 -5081.17
7199 -4890.5
2544 -1676.45
7578 -5068.83
7171 -4798.89
5165 -3463.93
2727 -1856.53
247 -152.54
7857 -5288.53
5817 -3934.0
6117 -4105.65
4076 -2719.68
2796 -1884.82
7598 -5119.2
5397 -3626.93
3843 -2593.46
