N mfeNoDiag
1695 -1917.8
758 -851.3
6994 -7973.6
321 -330.5
7469 -8440.0
5145 -5805.2
4264 -4741.0
3956 -4444.6
3646 -4108.5
5333 -6059.0
1626 -1864.4
2551 -2862.6
2060 -2247.1
4416 -4926.8
7485 -8582.9
1885 -2161.1
874 -972.2
5188 -5853.9
99 -110.2
1130 -1273.8
2303 -2565.2
6461 -7217.2
4587 -5244.7
4433 -5036.9
4797 -5410.9
2720 -3054.0
7409 -8415.2
6483 -7303.9
6652 -7503.6
824 -926.2
6758 -7607.5
4148 -4708.4
6980 -7844.0
2097 -2342.3
5890 -6714.2
7620 -8573.5
7896 -8886.9
6805 -7670.9
6360 -7127.9
357 -403.1
3031 -3404.2
5234 -5898.1
7162 -8021.0
964 -1061.4
7674 -8615.9
4562 -5132.6
6468 -7289.0
2372 -2658.6
2228 -2537.0
1027 -1163.0
3395 -3733.4
394 -420.0
6885 -7882.9
235 -254.7
3109 -3490.2
5771 -6694.0
563 -630.8
4567 -5126.3
1334 -1515.2
3895 -4424.1
2995 -3323.5
6711 -7642.8
4497 -5098.0
5132 -5817.1
1190 -1369.3
4378 -4952.8
3441 -3904.6
7095 -7986.6
3995 -4494.7
2980 -3267.3
3936 -4418.8
1780 -1968.0
5483 -6160.0
2235 -2512.2
4997 -5558.2
6971 -7768.9
3573 -3995.8
4779 -5381.5
6484 -7308.5
2441 -2786.2
1237 -1381.3
5694 -6475.1
6040 -6824.1
2661 -3006.9
7718 -8772.7
4601 -5128.9
3168 -3558.7
316 -367.4
3114 -3463.1
7163 -8116.6
6808 -7809.4
2574 -2896.8
5068 -5658.1
526 -594.7
4354 -4882.4
613 -677.0
4171 -4773.1
3697 -4125.2
42 -40.9
2053 -2300.6
5601 -6317.7
5660 -6557.3
1853 -2033.6
1848 -2117.7
1267 -1417.1
1137 -1235.5
5228 -5868.2
3630 -4062.0
5336 -6041.5
2690 -3049.6
7620 -8577.3
6913 -7760.5
2840 -3292.1
826 -950.0
2640 -2969.1
4566 -5154.3
303 -335.6
1755 -1976.2
837 -958.7
7670 -8718.8
2060 -2298.6
2314 -2600.7
3193 -3598.5
6320 -7259.1
7697 -8704.1
735 -781.3
1416 -1587.8
1705 -1897.3
2574 -2900.1
4297 -4846.1
4129 -4636.9
2416 -2686.7
6161 -6990.7
7408 -8387.3
2343 -2601.0
607 -685.7
6733 -7511.3
52 -52.9
4869 -5559.2
2687 -2976.1
5525 -6296.9
6091 -6931.8
3632 -4079.7
5569 -6278.1
5785 -6602.3
3938 -4485.1
6994 -7916.2
3073 -3457.7
3343 -3738.3
5605 -6333.7
1699 -1905.8
3282 -3688.2
5481 -6190.2
3883 -4350.1
2929 -3230.7
6278 -7075.0
2309 -2615.1
1377 -1515.8
1026 -1122.5
7304 -8215.3
4616 -5209.6
6907 -7860.3
5281 -5942.6
7796 -8721.1
3230 -3653.8
105 -106.4
3123 -3484.9
1684 -1880.8
6771 -7658.8
7275 -8231.2
4262 -4764.0
4768 -5391.3
7553 -8609.8
3706 -4044.3
3003 -3435.1
2535 -2814.8
877 -997.9
2000 -2240.0
3808 -4284.4
5119 -5755.5
5559 -6315.9
3851 -4355.4
1813 -2032.3
1257 -1393.3
162 -164.5
5806 -6524.0
4565 -5064.6
318 -328.8
7126 -8108.1
5007 -5687.5
7505 -8535.2
3859 -4394.8
6151 -6918.1
3854 -4350.5
3242 -3612.7
3037 -3468.8
3595 -4061.3
3676 -4134.2
3969 -4436.4
1104 -1233.2
7986 -8999.3
1734 -1935.9
3287 -3652.1
1948 -2232.6
7971 -9107.4
70 -78.3
1363 -1550.9
